,subjects,relations,objects,texts,need_curation,AEO_cat,annotations
0,we,were,on the top on the second floor,"So we were on the top, on the second floor.",FALSE,Orientation,
0,The head of the block,was,a German of Polish descent,"The head of the block was a German of Polish descent, who was named Alfred Olshevsky.",FALSE,Orientation,
0,,,,And he was screaming and yelling and kicking and beating.,FALSE,,
0,each one,was assigned,to a bed,And each one was assigned to a bed.,FALSE,Agency_Passive,
0,They,were,triple beds,They were triple beds.,FALSE,Orientation,
0,they,showed,us where the washroom is,And they showed us where the washroom is.,FALSE,Agency_Active,
0,he,told,us,"And he told us, everybody has to be clean.",TRUE,Agency_Active,these two triplets are separated
1,everybody,has to be,clean,"And he told us, everybody has to be clean.",TRUE,Agency_Coercion/Necessity,"""curate=true"" for indirect speech "
0,Everyone,has to wash,himself,"Everyone has to wash himself, and he don't want anybody caught with dirty hands or dirty fingers or dirty feet or dirty ears or dirty head.",FALSE,Agency_Coercion/Necessity,
1,he,do not want,anybody caught with dirty hands dirty fingers dirty feet dirty ears dirty head,"Everyone has to wash himself, and he don't want anybody caught with dirty hands or dirty fingers or dirty feet or dirty ears or dirty head.",FALSE,Agency_Speculative/Modal,
0,they,put,us the next morning,"And then they put us -- the next morning, they put us up in a room on the top of the building.",FALSE,Agency_Active,
1,they,put,us up in a room on the top,"And then they put us -- the next morning, they put us up in a room on the top of the building.",FALSE,Agency_Active,
0,It,was,like an attic,It was like an attic.,FALSE,Orientation,
0,they,taught,us to be bricklayers,And they taught us to be bricklayers.,FALSE,Agency_Active,
0,they,taught,us about cement about sand about mixtures about other things,"First, they taught us about cement, about sand, about mixtures, about other things.",FALSE,Agency_Active,
0,they,showed,us how to lie the bricks,Then they showed us how to lie the bricks down.,FALSE,Agency_Active, 
0,We,were,about two months,We were there for about two months.,FALSE,Orientation,"""there"" is not included"
0,It,was,a very cold winter,It was a very cold winter.,FALSE,Orientation,
0,,,,And we were sitting there.,FALSE,,
0,the food,was,very minimal no food,"Now, the food was very minimal, no food.",FALSE,Orientation,
0,The bread,was,like sawdust,The bread was like sawdust.,FALSE,Orientation,
0,then every morning,was,roll call,"And then every morning was roll call, and every evening was roll call.",FALSE,Orientation,
1,every evening,was,roll call,"And then every morning was roll call, and every evening was roll call.",FALSE,Orientation,
0,They,called,your numbers not your names,"They called your numbers, not your names.",FALSE,Agency_Active,
0,you,had to answer,to your number,And you had to answer to your number that you're there.,FALSE,Agency_Coercion/Necessity,
0,they,put,us up on construction,And after two months they put us up on construction.,FALSE,Agency_Active,
0,I,approached,a man in the camp,I approached a man in the camp who was already months before me there.,FALSE,Agency_Active,
0,It,was,an older man,It was an older man.,FALSE,Orientation,
0,He,was,not old,"He was not old, because I was young, so I considered him old.",FALSE,Evaluation,
1,I,was,young,"He was not old, because I was young, so I considered him old.",FALSE,Evaluation,
2,I,considered,him old,"He was not old, because I was young, so I considered him old.",FALSE,Agency_Active,
0,He,was,my oldest brother 's age,He was my oldest brother's age.,FALSE,Orientation,
0,he,was,a carpenter,And he was a carpenter.,FALSE,Orientation,
0,I,knew,he worked outside the camp Auschwitz camp,"I knew he worked outside the camp, Auschwitz camp.",FALSE,Agency_Active,
0,he,had,the possibility of acquiring a little more food,And he had the possibility of acquiring a little more food.,FALSE,Orientation,
0,I,approached,him,"So I approached him, and I asked him if he could help me with anything in food.",FALSE,Agency_Active,
1,I,asked,him if he could help me with anything,"So I approached him, and I asked him if he could help me with anything in food.",TRUE,Agency_Active,
0,he,said,he can,"And he said he cannot, but if I know anybody who has gold coins or dollars or German marks, he will be able to help me with a loaf of bread or with a piece of salami.",TRUE,Agency_Active,"the ""not"" is missing here"
1,I,know,anybody who has gold coins dollars German marks,"And he said he cannot, but if I know anybody who has gold coins or dollars or German marks, he will be able to help me with a loaf of bread or with a piece of salami.",TRUE,Agency_Active,"the ""if, then"" statement is separated (note ""curate=true"" for this sentence to indicate a possible problem)"
2,he,will be,able to help me with a loaf with a piece of salami,"And he said he cannot, but if I know anybody who has gold coins or dollars or German marks, he will be able to help me with a loaf of bread or with a piece of salami.",TRUE,Agency_Passive,
0,I,immediately went,into work I start asking,"Well, I immediately went into work,and I start asking around.",FALSE,Agency_Active,
0,,,,"And I said, whatever I'll get, we'll split.",FALSE,,
0,we,came,into the camp everything was taken,"When we came into the camp, everything was taken.",FALSE,Agency_Active,"conditional statement missing ""when"""
0,All the clothes,was taken,away from us,All the clothes was taken away from us.,FALSE,Agency_Passive,
0,they,let,us take,"But the shoes, they let us take.",FALSE,Agency_Active,
0,,,,"So some people, for some reason, had either gold coins or money in their heels, buried in their heels.",FALSE,,
0,he,gave,me a loaf of bread,"And the first night, he gave me a loaf of bread, which was a big thing.",FALSE,Agency_Active,
1,he,which was,a big thing,"And the first night, he gave me a loaf of bread, which was a big thing.",FALSE,Orientation,subject wrong
0,,,,So I shared.,FALSE,,
0,I,gave,him half,"I gave him half, and I took half.",FALSE,Agency_Active,
1,I,took,half,"I gave him half, and I took half.",FALSE,Agency_Active,
0,I,took,the other half,And I took the other half.,FALSE,Agency_Active,
0,I,shared,my half with another young man from my hometown,"I shared my half with another young man from my hometown, who was sleeping above me.",FALSE,Agency_Active,
0,,,,"In the evening, after roll call, my number was called out.",FALSE,,
0,,,,And I really didn't know why.,FALSE,,
0,I,already got,scared,But I already got scared.,FALSE,Agency_Active,
0,I,was called,into that political section of the Gestapo,And I was called into that political section of the Gestapo.,FALSE,Agency_Passive,
0,they,start asking,me,"And they start asking me, who gave me the money and who did I give the money to?",FALSE,Agency_Active,
0,I,already heard,so many stories,"Well, I already heard so many stories about what's going on in camp, so I figured, you know, I'm not going to involve anybody else anymore, that, you know, this is going to be my end, and that's it.",FALSE,Agency_Active,
0,I,resigned,to the idea that 's it,And I resigned to the idea that that's it.,FALSE,Agency_Active,
0,I,would not involve,anyone,So I wouldn't involve anyone.,FALSE,Agency_Speculative/Modal,
0,,,,I got beat.,FALSE,,
0,They,were beating,me,They were beating me.,FALSE,Agency_Active,
0,They,were hanging,me by my hands in the back about a half an hour for 20 minutes,"They were hanging me by my hands, in the back, for about a half an hour, for 20 minutes.",FALSE,Agency_Active,
0,they,were kicking,me with bayonets,And then they were kicking me with bayonets.,FALSE,Agency_Active,
0,I,have,a big mark on my stomach,"In fact, I have a big mark, here, on my stomach.",FALSE,Orientation,
